TU_id	start	end	Direction	TU_genes	pathway_id	pathway_names
TU185E-6914	3809442	3811636	-	G185E-7671 ; G185E-7670		-
TU185E-7282	3586274	3586834	+	G185E-7480		-
TU185E-7546	1342942	1344219	+	G185E-5370		-
TU185E-6165	2183866	2187159	-	G185E-6132 ; G185E-6131 ; G185E-6130	PWY0-1337 ; FAO-PWY	fatty acid &beta;-oxidation I;oleate &beta;-oxidation
TU185E-5569	878638	881040	+	G185E-4933 ; G185E-4932		-
TU185E-6533	2957572	2958870	+	G185E-6875		-
TU185E-5936	1673440	1676051	+	G185E-5669 ; G185E-5668 ; G185E-5667	PWY-5989 ; PWY-5971 ; PWY-6113 ; PWYG-321;PWY0-1415 ; HEMESYN2-PWY ; HEME-BIOSYNTHESIS-II	mycolate biosynthesis;superpathway of mycolate biosynthesis;stearate biosynthesis II (bacteria and plants);palmitate biosynthesis II (bacteria and plants);heme <i>b</i> biosynthesis I (aerobic);superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III;heme <i>b</i> biosynthesis II (anaerobic)
TU185E-6898	3773016	3774504	-	G185E-7639 ; G185E-7638 ; G185E-7637		-
TU185E-7266	3724615	3725844	-	G185E-7615	PWY-6969	
TU185E-7530	1494564	1497155	+	G185E-5507		-
TU185E-6149	2143535	2144882	-	G185E-6094 ; G185E-6093		-
TU185E-5553	842347	845953	-	G185E-4899 ; G185E-4898 ; G185E-4897	PWY0-1337 ; FAO-PWY;VALDEG-PWY	fatty acid &beta;-oxidation I;oleate &beta;-oxidation;L-valine degradation I
TU185E-6517	2926355	2927908	+	G185E-6841 ; G185E-6840 ; G185E-6839		-
TU185E-5920	1622207	1622692	-	G185E-5626		-
TU185E-6882	3723656	3724042	+	G185E-7613		-
TU185E-7250	3892371	3893720	-	G185E-7753		-
TU185E-7514	1635029	1635955	+	G185E-5634		-
TU185E-6133	2119460	2120695	-	G185E-6064		-
TU185E-5537	818537	819640	-	G185E-4871		-
TU185E-6501	2881409	2881702	+	G185E-6802		-
TU185E-5905	1576930	1577532	+	G185E-5584		-
TU185E-6866	3687685	3690938	-	G185E-7577 ; G185E-7576	PWY0-381-1 ; PWY-4261-1 ; PWY-6952-1	glycerol degradation I;glycerol and glycerophosphodiester degradation;glycerophosphodiester degradation;-
TU185E-7234	4017089	4018168	-	G185E-7853		-
TU185E-7498	1807298	1807762	-	G185E-5796		-
TU185E-6117	2087257	2087912	-	G185E-6034 ; G185E-6033		-
TU185E-5521	787099	789160	+	G185E-4831 ; G185E-4830		-
TU185E-6485	2851091	2851716	+	G185E-6765 ; G185E-6764		-
TU185E-5889	1538390	1539440	+	G185E-5548 ; G185E-5547		-
TU185E-6850	3644898	3647809	-	G185E-7540 ; G185E-7539 ; G185E-7538	PWY-5659;PWY-6404 ; DTDPRHAMSYN-PWY; PWY-6397	GDP-mannose biosynthesis;superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis;dTDP-L-rhamnose biosynthesis;superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis;
TU185E-7218	4155740	4156729	-	G185E-7998		-
TU185E-7482	1965955	1967637	-	G185E-5934		-
TU185E-6101	2055681	2056112	-	G185E-6008		-
TU185E-5505	753462	753617	-	G185E-4800		-
TU185E-6469	2806665	2808030	+	G185E-6728 ; G185E-6727		-
TU185E-5873	1497195	1500559	-	G185E-5509 ; G185E-5508	PYRIDNUCSAL-PWY	-;NAD salvage pathway I (PNC VI cycle)
TU185E-6834	3611959	3613603	-	G185E-7511 ; G185E-7510		-
TU185E-7202	4284419	4285825	-	G185E-8116	PWY-7746	mycobacterial sulfolipid biosynthesis
TU185E-7466	2147662	2148954	+	G185E-6098		-
TU185E-6085	2031066	2031968	+	G185E-5989		-
TU185E-5489	728583	729278	-	G185E-4770	PWY0-1337 ; FAO-PWY	fatty acid &beta;-oxidation I;oleate &beta;-oxidation
TU185E-6453	2766859	2768159	-	G185E-6699 ; G185E-6698	PENTOSE-P-PWY ; NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch);pentose phosphate pathway;-
TU185E-5857	1459766	1468131	+	G185E-5486 ; G185E-5485 ; G185E-5484 ; G185E-5483 ; G185E-5482 ; G185E-5481 ; G185E-5480 ; G185E-5479 ; G185E-5478 ; G185E-5477		-
TU185E-6818	3581627	3583710	-	G185E-7476 ; G185E-7475	PWY-7289	-
TU185E-7186	4403192	4404412	+	G185E-8213		-
TU185E-7450	2218844	2219251	-	G185E-6175		-
TU185E-6069	1999737	2000006	+	G185E-5962		-
TU185E-5473	700239	701189	+	G185E-4739		-
TU185E-6437	2734376	2734795	+	G185E-6668		-
TU185E-5841	1420410	1424050	-	G185E-5445 ; G185E-5444		-
TU185E-6802	3549254	3550143	-	G185E-7446 ; G185E-7445		-
TU185E-7170	4360199	4361925	-	G185E-8179 ; G185E-8178		-
TU185E-7434	2347373	2348554	+	G185E-6296		-
TU185E-6053	1969004	1970704	+	G185E-5938		-
TU185E-5457	659450	660868	+	G185E-4702		-
TU185E-6421	2706494	2709965	-	G185E-6641 ; G185E-6640 ; G185E-6639		-
TU185E-5825	1393194	1393982	-	G185E-5420		-
TU185E-6786	3505363	3507995	+	G185E-7405 ; G185E-7404	PWY0-1337 ; FAO-PWY	fatty acid &beta;-oxidation I;oleate &beta;-oxidation
TU185E-7154	4322326	4323234	+	G185E-8146		-
TU185E-7418	2455631	2456743	-	G185E-6402	PWY-6629 ; TRPSYN-PWY	L-tryptophan biosynthesis;superpathway of L-tryptophan biosynthesis
TU185E-6037	1934482	1934649	-	G185E-5898		-
TU185E-5441	635935	637463	-	G185E-4678 ; G185E-4677		-
TU185E-6405	2656408	2667115	-	G185E-6606 ; G185E-6605 ; G185E-6604	PWY185E-1	
TU185E-5809	1363503	1364150	-	G185E-5390		-
TU185E-6770	3467967	3468334	-	G185E-7362		-
TU185E-7138	4278394	4281571	-	G185E-8112 ; G185E-8111 ; G185E-8110 ; G185E-8109		-
TU185E-6021	1896876	1898207	-	G185E-5862		-
TU185E-5425	604602	606448	+	G185E-4646 ; G185E-4645 ; G185E-4644	P381-PWY ; PWY-5188	adenosylcobalamin biosynthesis II (aerobic);tetrapyrrole biosynthesis I (from glutamate);-
TU185E-6389	2627172	2632075	-	G185E-6577 ; G185E-6576 ; G185E-6575	LIPASYN-PWY	phospholipases
TU185E-5793	1325776	1327512	-	G185E-5354		-
TU185E-6754	3430387	3431315	+	G185E-7327 ; G185E-7326		-
TU185E-7122	4221089	4222648	+	G185E-8071		-
TU185E-6005	1833542	1836236	+	G185E-5820 ; G185E-5819		-
TU185E-5409	573984	575300	+	G185E-4613		-
TU185E-6373	2601914	2603461	-	G185E-6553		-
TU185E-5777	1279998	1281484	-	G185E-5321 ; G185E-5320		-
TU185E-6738	3398425	3404921	-	G185E-7304 ; G185E-7303 ; G185E-7302 ; G185E-7301 ; G185E-7300 ; G185E-7299	PWY-6947 ; PWY-6944 ; VALDEG-PWY ; PWY0-1337 ; FAO-PWY;SULFATE-CYS-PWY ; SER-GLYSYN-PWY ; SERSYN-PWY	-;L-valine degradation I;fatty acid &beta;-oxidation I;oleate &beta;-oxidation;;superpathway of cholesterol degradation II (cholesterol dehydrogenase);superpathway of sulfate assimilation and cysteine biosynthesis;superpathway of L-serine and glycine biosynthesis I;L-serine biosynthesis I
TU185E-7106	4197236	4197595	+	G185E-8038		-
TU185E-5989	1792400	1793740	-	G185E-5780		-
TU185E-5393	552614	554309	+	G185E-4590 ; G185E-4589	VALDEG-PWY ; PWY-5482 ; 1CMET2-PWY ; PYRUVDEHYD-PWY ; GLYCLEAV-PWY ; PWY-5084 ; PWY-5046	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis;L-valine degradation I;pyruvate decarboxylation to acetyl CoA;pyruvate fermentation to acetate II;2-oxoisovalerate decarboxylation to isobutanoyl-CoA;2-oxoglutarate decarboxylation to succinyl-CoA;glycine cleavage;-
TU185E-6357	2577488	2577922	+	G185E-6525		-
TU185E-5761	1241003	1241188	+	G185E-5281		-
TU185E-6722	3359585	3362986	-	G185E-7261 ; G185E-7260 ; G185E-7259	VALSYN-PWY ; BRANCHED-CHAIN-AA-SYN-PWY ; PWY-3001 ; ILEUSYN-PWY	L-valine biosynthesis;superpathway of branched chain amino acid biosynthesis;superpathway of L-isoleucine biosynthesis I;L-isoleucine biosynthesis I (from threonine)
TU185E-7090	4171421	4172614	+	G185E-8016		-
TU185E-5973	1757681	1760929	+	G185E-5743 ; G185E-5742 ; G185E-5741 ; G185E-5740		-
TU185E-5377	522347	526082	-	G185E-4562 ; G185E-4561 ; G185E-4560	PWY-5669	phosphatidylethanolamine biosynthesis I;-
TU185E-7722	11874	12311	-	G185E-4121		-
TU185E-6341	2553173	2554831	+	G185E-6499		-
TU185E-5745	1216469	1219030	+	G185E-5255		-
TU185E-6706	3325934	3326949	+	G185E-7226 ; G185E-7225		-
TU185E-7074	4148318	4148962	-	G185E-7991		-
TU185E-5239	174833	176668	+	G185E-4266 ; G185E-4265		-
TU185E-5361	476679	479753	-	G185E-4525 ; G185E-4524 ; G185E-4523	PWY0-1337 ; FAO-PWY	fatty acid &beta;-oxidation I;oleate &beta;-oxidation;-
TU185E-7706	156578	157600	-	G185E-4246	PWY-6404 ; PWY-6397 ; PWY-6113 ; PWYG-321	mycolate biosynthesis;superpathway of mycolate biosynthesis;superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis;
TU185E-6325	2527984	2528487	+	G185E-6470		-
TU185E-5729	1196279	1197115	+	G185E-5234		-
TU185E-6693	3291503	3302455	-	G185E-7204 ; G185E-7203 ; G185E-7202 ; G185E-7201 ; G185E-7200	PWY-7742;PWY-7745 ; PWY-5755 ; PWY-7742	phenolphthiocerol biosynthesis;-;4-hydroxybenzoate biosynthesis II (bacteria);phenolphthiocerol biosynthesis;
TU185E-7058	4117258	4118691	-	G185E-7962 ; G185E-7961 ; G185E-7960		-
TU185E-5223	147908	148342	-	G185E-4238		-
TU185E-5345	453230	454372	-	G185E-4500		-
TU185E-7690	234516	236507	-	G185E-4318		-
TU185E-6309	2495461	2497023	-	G185E-6435		-
TU185E-5713	1172386	1172832	+	G185E-5209		-
TU185E-6677	3219274	3221698	-	G185E-7165 ; G185E-7164		-
TU185E-7042	4088781	4091096	+	G185E-7929		-
TU185E-5207	98480	99250	+	G185E-4207		-
TU185E-7410	2500931	2501632	+	G185E-6439		-
TU185E-5329	397442	399524	+	G185E-4458 ; G185E-4457 ; G185E-4456	PWY-6404 ; DTDPRHAMSYN-PWY	superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis;dTDP-L-rhamnose biosynthesis;-
TU185E-7674	331748	332668	+	G185E-4398		-
TU185E-6293	2456901	2461327	+	G185E-6406 ; G185E-6405 ; G185E-6404 ; G185E-6403		-
TU185E-5697	1138315	1138908	+	G185E-5178		-
TU185E-6661	3184847	3186934	+	G185E-7126		-
TU185E-7026	4063254	4064872	-	G185E-7904 ; G185E-7903	PWY-6609 ; PWY-6620 ; PWY-6599	adenine and adenosine salvage III;guanine and guanosine salvage;guanine and guanosine salvage II;-
TU185E-5191	63200	64967	+	G185E-4174 ; G185E-4173		-
TU185E-7394	2655265	2655582	+	G185E-6601		-
TU185E-5313	372820	375711	-	G185E-4428		-
TU185E-7658	441265	442299	-	G185E-4487	GLYCOLYSIS ; GLUCONEO-PWY	glycolysis I (from glucose 6-phosphate);gluconeogenesis I
TU185E-6277	2430159	2431420	-	G185E-6377 ; G185E-6376		-
TU185E-5681	1109272	1110192	+	G185E-5150	PWY-7343	UDP-&alpha;-D-glucose biosynthesis I
TU185E-6645	3148385	3149976	-	G185E-7093 ; G185E-7092		-
TU185E-7010	4034057	4034374	+	G185E-7870	PWY-7848	heme degradation VII
TU185E-5175	39056	39829	-	G185E-4150		-
TU185E-7378	2825488	2827089	-	G185E-6746		-
TU185E-5297	322764	323273	-	G185E-4390		-
TU185E-7642	614326	614721	-	G185E-4655		-
TU185E-6261	2396902	2397315	-	G185E-6343		-
TU185E-5665	1075297	1076097	-	G185E-5119		-
TU185E-6629	3112867	3113459	+	G185E-7056 ; G185E-7055		-
TU185E-6994	3997029	3997631	-	G185E-7834		-
TU185E-5159	9914	10828	+	G185E-4118		-
TU185E-7362	2943600	2944985	-	G185E-6859		-
TU185E-5281	288428	289042	+	G185E-4359		-
TU185E-7626	823683	824639	-	G185E-4876		-
TU185E-6245	2363391	2364107	+	G185E-6308		-
TU185E-5649	1037920	1041048	-	G185E-5087 ; G185E-5086		-
TU185E-6613	3083374	3084303	-	G185E-7025		-
TU185E-6978	3960755	3961786	+	G185E-7801		-
TU185E-6975	3952544	3953335	+	G185E-7793	PWY-6947 ; PWY-6945 ; PWY-6946	superpathway of cholesterol degradation II (cholesterol dehydrogenase);;cholesterol degradation to androstenedione I (cholesterol oxidase)
TU185E-7343	3059855	3062506	-	G185E-6997		-
TU185E-5262	231647	234519	+	G185E-4317 ; G185E-4316		-
TU185E-7607	936457	937317	-	G185E-4994		-
TU185E-6226	2320831	2324701	+	G185E-6271 ; G185E-6270 ; G185E-6269 ; G185E-6268 ; G185E-6267	P381-PWY ; PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation);adenosylcobalamin biosynthesis II (aerobic);-
TU185E-5630	1002812	1004484	+	G185E-5055 ; G185E-5054 ; G185E-5053		-
TU185E-6594	3051806	3053189	-	G185E-6988 ; G185E-6987		-
TU185E-6959	3894093	3895607	+	G185E-7755 ; G185E-7754		-
TU185E-7327	3276380	3282715	-	G185E-7193	PWY-7744 ; PWY-7743	
TU185E-7591	1045199	1046020	-	G185E-5092		-
TU185E-6210	2266805	2268108	-	G185E-6225 ; G185E-6224 ; G185E-6223		-
TU185E-5614	964312	965535	-	G185E-5021		-
TU185E-6578	3022461	3023432	+	G185E-6958		-
TU185E-6943	3868352	3871119	+	G185E-7726 ; G185E-7725		-
TU185E-7311	3394019	3394921	-	G185E-7295		-
TU185E-7575	1168704	1169228	-	G185E-5206		-
TU185E-6194	2239004	2239957	+	G185E-6198		-
TU185E-5598	923999	924286	+	G185E-4985 ; G185E-4984 ; G185E-4983	TRNA-CHARGING-PWY ; PWY0-1479;PWY-5188 ; TRNA-CHARGING-PWY ;PWY0-1479 ; TRNA-CHARGING-PWY	tRNA charging;adenosylcobalamin biosynthesis II (aerobic);tetrapyrrole biosynthesis I (from glutamate);tRNA charging
TU185E-6562	2991184	2995062	-	G185E-6926 ; G185E-6925 ; G185E-6924 ; G185E-6923	PWY0-1415 ; HEMESYN2-PWY ; HEME-BIOSYNTHESIS-II	heme <i>b</i> biosynthesis I (aerobic);superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III;heme <i>b</i> biosynthesis II (anaerobic);heme <i>b</i> biosynthesis I (aerobic);superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III;-
TU185E-5965	1739856	1741247	+	G185E-5725		-
TU185E-6927	3837555	3841420	-	G185E-7700 ; G185E-7699 ; G185E-7698 ; G185E-7697 ; G185E-7696	PWY0-1587	-;N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
TU185E-7295	3502945	3503277	-	G185E-7401		-
TU185E-7559	1276300	1277748	-	G185E-5315		-
TU185E-6178	2220908	2221756	+	G185E-6177		-
TU185E-5582	905234	906340	-	G185E-4960		-
TU185E-6546	2969753	2970013	+	G185E-6892 ; G185E-6891 ; G185E-6890	PWY0-1479 ; TRNA-CHARGING-PWY	tRNA charging
TU185E-5949	1699866	1701093	+	G185E-5697 ; G185E-5696		-
TU185E-6911	3801653	3803848	+	G185E-7664		-
TU185E-7279	3593804	3594235	-	G185E-7488		-
TU185E-7543	1354498	1355661	-	G185E-5382	PWY-7900	glycogen biosynthesis III (from &alpha;-maltose 1-phosphate)
TU185E-6162	2174067	2176513	+	G185E-6120 ; G185E-6119	LIPAS-PWY	triacylglycerol degradation;-
TU185E-5566	870008	872675	+	G185E-4926 ; G185E-4925	PWY-7229 ; PWY-6126 ; PWY-7219	-;adenosine ribonucleotides <i>de novo</i> biosynthesis;superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II;superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I
TU185E-6530	2953507	2954748	-	G185E-6871		-
TU185E-5933	1666204	1666764	+	G185E-5660		-
TU185E-6895	3770773	3771302	+	G185E-7634 ; G185E-7633		-
TU185E-7263	3780335	3780979	-	G185E-7644		-
TU185E-7527	1541020	1541805	+	G185E-5550		-
TU185E-6146	2139076	2139687	-	G185E-6086		-
TU185E-5550	835154	838052	+	G185E-4891 ; G185E-4890		-
TU185E-6514	2921551	2923182	+	G185E-6833		-
TU185E-5917	1608083	1611270	+	G185E-5615 ; G185E-5614		-
TU185E-6879	3715777	3716994	+	G185E-7606	PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
TU185E-7247	3905772	3906221	+	G185E-7763		-
TU185E-7511	1639674	1640660	-	G185E-5637		-
TU185E-6130	2113140	2115476	+	G185E-6061		-
TU185E-5534	811373	812812	+	G185E-4861 ; G185E-4860 ; G185E-4859 ; G185E-4858		-
TU185E-6498	2877831	2878541	+	G185E-6798		-
TU185E-5902	1572127	1573857	-	G185E-5579		-
TU185E-6863	3676066	3676731	+	G185E-7569		-
TU185E-7231	4052950	4053603	+	G185E-7890		-
TU185E-7495	1840572	1842242	-	G185E-5824		-
TU185E-6114	2075877	2078702	+	G185E-6027	1CMET2-PWY ; GLYCLEAV-PWY	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis;glycine cleavage
TU185E-5518	782485	784590	+	G185E-4827		-
TU185E-6482	2838129	2839930	-	G185E-6761 ; G185E-6760	PWY-6012-1	acyl carrier protein activation;-
TU185E-5886	1532443	1533633	-	G185E-5541		-
TU185E-6847	3638811	3639302	-	G185E-7532		-
TU185E-7215	4180680	4181720	-	G185E-8020		-
TU185E-7479	1993153	1994661	+	G185E-5955		-
TU185E-6098	2052933	2053289	+	G185E-6005		-
TU185E-5502	748276	749241	+	G185E-4795 ; G185E-4794		-
TU185E-6466	2795301	2797385	-	G185E-6723		-
TU185E-5870	1487161	1488075	+	G185E-5503		-
TU185E-6831	3605751	3607034	-	G185E-7503		-
TU185E-7199	4306236	4306811	-	G185E-8128		-
TU185E-7463	2159921	2160328	-	G185E-6111		-
TU185E-6082	2029904	2030203	+	G185E-5986		-
TU185E-5486	718025	718689	+	G185E-4765 ; G185E-4764		-
TU185E-6450	2763891	2765404	-	G185E-6695 ; G185E-6694	PWY0-1479 ; TRNA-CHARGING-PWY	tRNA charging;-
TU185E-5854	1455163	1455405	+	G185E-5472		-
TU185E-6815	3572602	3573669	-	G185E-7470		-
TU185E-7183	4391097	4393073	-	G185E-8205 ; G185E-8204		-
TU185E-7447	2258854	2259285	-	G185E-6213		-
TU185E-6066	1996152	1997413	+	G185E-5959 ; G185E-5958		-
TU185E-5470	698524	698994	-	G185E-4736		-
TU185E-6434	2727967	2728266	-	G185E-6662		-
TU185E-5838	1418579	1418953	-	G185E-5441		-
TU185E-6799	3545447	3546307	+	G185E-7442		-
TU185E-7167	4353010	4356542	+	G185E-8175 ; G185E-8174		-
TU185E-7431	2378386	2379222	+	G185E-6325		-
TU185E-6050	1961291	1961788	-	G185E-5930		-
TU185E-5454	657548	658039	-	G185E-4699		-
TU185E-6418	2700535	2703248	-	G185E-6634 ; G185E-6633		-
TU185E-5822	1387798	1388628	-	G185E-5416		-
TU185E-6783	3501334	3501732	+	G185E-7399		-
TU185E-7151	4318775	4319640	+	G185E-8143 ; G185E-8142		-
TU185E-6034	1927211	1928575	-	G185E-5893		-
TU185E-5438	630040	631686	+	G185E-4671		-
TU185E-6402	2654062	2655093	-	G185E-6600		-
TU185E-5806	1354243	1354470	+	G185E-5381		-
TU185E-6767	3464547	3465686	+	G185E-7358		-
TU185E-7135	4273739	4274593	+	G185E-8106		-
TU185E-6018	1891226	1892287	+	G185E-5855		-
TU185E-5422	595464	596585	-	G185E-4637	SULFATE-CYS-PWY ; SER-GLYSYN-PWY ; SERSYN-PWY	superpathway of sulfate assimilation and cysteine biosynthesis;superpathway of L-serine and glycine biosynthesis I;L-serine biosynthesis I
TU185E-6386	2625888	2626172	-	G185E-6572		-
TU185E-5790	1313725	1321453	+	G185E-5351 ; G185E-5350 ; G185E-5349	PWY-7738	-
TU185E-6751	3423262	3425427	-	G185E-7322	PWY0-1337 ; FAO-PWY	fatty acid &beta;-oxidation I;oleate &beta;-oxidation
TU185E-7119	4216404	4216730	-	G185E-8064		-
TU185E-6002	1828015	1828088	-	G185E-5814	PWY0-1479 ; TRNA-CHARGING-PWY	tRNA charging
TU185E-5406	569988	570512	-	G185E-4609		-
TU185E-6370	2597009	2599947	-	G185E-6550 ; G185E-6549		-
TU185E-5774	1272423	1274767	+	G185E-5313 ; G185E-5312		-
TU185E-6735	3393380	3393928	+	G185E-7294		-
TU185E-7103	4195886	4196098	-	G185E-8035		-
TU185E-5986	1786584	1788505	-	G185E-5774 ; G185E-5773		-
TU185E-5390	547586	549607	-	G185E-4584		-
TU185E-6354	2573813	2574055	+	G185E-6520		-
TU185E-5758	1238255	1239328	+	G185E-5277		-
TU185E-6719	3356815	3357276	+	G185E-7255		-
TU185E-7087	4169467	4169709	+	G185E-8013		-
TU185E-5374	516017	518396	-	G185E-4554 ; G185E-4553 ; G185E-4552		-
TU185E-7719	41304	41912	+	G185E-4152		-
TU185E-6338	2546883	2548939	+	G185E-6494 ; G185E-6493	PWY-7236	
TU185E-5742	1214513	1214947	+	G185E-5251		-
TU185E-6703	3318901	3319467	-	G185E-7220		-
TU185E-7071	4139805	4140463	-	G185E-7983 ; G185E-7982		-
TU185E-5236	171215	172168	+	G185E-4262		-
TU185E-5358	474940	475742	+	G185E-4520 ; G185E-4519		-
TU185E-7703	163366	164691	+	G185E-4253		-
TU185E-6322	2523241	2525354	-	G185E-6466 ; G185E-6465	PWY0-381-1 ; PWY-4261-1 ; PWY-6952-1	glycerol degradation I;glycerol and glycerophosphodiester degradation;glycerophosphodiester degradation;-
TU185E-5726	1188421	1190424	-	G185E-5229		-
TU185E-6690	3288464	3290235	+	G185E-7197 ; G185E-7196		-
TU185E-7055	4114474	4115894	-	G185E-7957 ; G185E-7956		-
TU185E-5220	136289	137245	+	G185E-4229		-
TU185E-5342	443067	445233	-	G185E-4491 ; G185E-4490 ; G185E-4489		-
TU185E-7687	243384	244487	+	G185E-4325		-
TU185E-6306	2489369	2492353	-	G185E-6432		-
TU185E-5710	1165092	1165499	-	G185E-5202		-
TU185E-6674	3213912	3214253	-	G185E-7156		-
TU185E-7039	4084453	4087257	-	G185E-7926		-
TU185E-5204	88204	89480	+	G185E-4197 ; G185E-4196		-
TU185E-7407	2517032	2517134	-	G185E-6459		-
TU185E-5326	391352	392728	+	G185E-4450 ; G185E-4449 ; G185E-4448		-
TU185E-7671	375914	376585	+	G185E-4429		-
TU185E-6290	2449993	2451150	-	G185E-6398	PWY-7885	phosphatidylinositol mannoside biosynthesis
TU185E-5694	1133333	1134568	-	G185E-5173 ; G185E-5172		-
TU185E-6658	3179368	3183011	-	G185E-7122 ; G185E-7121 ; G185E-7120		-
TU185E-7023	4057733	4059885	+	G185E-7897 ; G185E-7896		-
TU185E-5188	58586	59080	+	G185E-4168		-
TU185E-7391	2697728	2698057	+	G185E-6630		-
TU185E-5310	363826	364469	+	G185E-4424 ; G185E-4423		-
TU185E-7655	472781	474106	+	G185E-4517		-
TU185E-6274	2422271	2423137	-	G185E-6370		-
TU185E-5678	1107443	1108099	-	G185E-5147		-
TU185E-6642	3142309	3144645	-	G185E-7088 ; G185E-7087		-
TU185E-7007	4029871	4030494	-	G185E-7866		-
TU185E-5172	32057	33154	+	G185E-4143		-
TU185E-7375	2837388	2837615	-	G185E-6758		-
TU185E-5294	312759	314168	-	G185E-4383		-
TU185E-7639	671996	675916	-	G185E-4712		-
TU185E-6258	2392517	2393320	-	G185E-6337	GLYCOLYSIS ; GLUCONEO-PWY	glycolysis I (from glucose 6-phosphate);gluconeogenesis I
TU185E-5662	1073327	1073928	+	G185E-5116 ; G185E-5115		-
TU185E-6626	3107768	3110065	+	G185E-7049 ; G185E-7048		-
TU185E-6991	3991621	3994742	+	G185E-7831 ; G185E-7830	PWY-6947 ; PWY-6944	-;;superpathway of cholesterol degradation II (cholesterol dehydrogenase)
TU185E-5156	1	1524	+	G185E-4112		-
TU185E-7359	2946434	2947111	+	G185E-6862		-
TU185E-5278	279605	286851	-	G185E-4356 ; G185E-4355 ; G185E-4354	PWY-6537	-;4-aminobutanoate degradation II
TU185E-7623	846159	847913	+	G185E-4900		-
TU185E-6242	2356729	2358206	-	G185E-6305 ; G185E-6304	-	-
TU185E-5646	1032710	1033786	-	G185E-5081		-
TU185E-6610	3079309	3080457	-	G185E-7019		-
TU185E-6607	3075588	3076720	-	G185E-7016 ; G185E-7015		-
TU185E-6972	3931005	3936710	+	G185E-7785		-
TU185E-7340	3086820	3087935	+	G185E-7029	PWY1-2	L-alanine degradation IV
TU185E-5259	223607	223909	+	G185E-4312		-
TU185E-7604	942680	944194	-	G185E-5000		-
TU185E-6223	2316279	2316680	+	G185E-6264		-
TU185E-5627	997782	999299	+	G185E-5049		-
TU185E-6591	3042542	3044378	+	G185E-6979 ; G185E-6978		-
TU185E-6956	3884975	3887083	-	G185E-7746 ; G185E-7745	PWY-6404 ; DTDPRHAMSYN-PWY	-;superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis;dTDP-L-rhamnose biosynthesis
TU185E-7324	3335960	3336505	+	G185E-7235		-
TU185E-7588	1058260	1060575	+	G185E-5104		-
TU185E-6207	2263426	2265038	+	G185E-6219 ; G185E-6218		-
TU185E-5611	958523	960151	-	G185E-5015		-
TU185E-6575	3017835	3019886	+	G185E-6952 ; G185E-6951		-
TU185E-6940	3861495	3862390	-	G185E-7720 ; G185E-7719		-
TU185E-7308	3429825	3430250	-	G185E-7325		-
TU185E-7572	1173945	1174700	-	G185E-5211		-
TU185E-6191	2234991	2237575	-	G185E-6195 ; G185E-6194		-
TU185E-5595	921970	922875	+	G185E-4980		-
TU185E-6559	2986839	2987615	+	G185E-6919		-
TU185E-5962	1733610	1735411	+	G185E-5722 ; G185E-5721		-
TU185E-6924	3832146	3834521	-	G185E-7692 ; G185E-7691 ; G185E-7690		-
TU185E-7292	3510088	3511317	-	G185E-7409		-
TU185E-7556	1283056	1284171	-	G185E-5324		-
TU185E-6175	2204866	2206802	-	G185E-6162 ; G185E-6161 ; G185E-6160		-
TU185E-5579	901635	902024	+	G185E-4956		-
TU185E-6543	2966533	2968406	+	G185E-6887 ; G185E-6886		-
TU185E-5946	1693996	1695144	-	G185E-5690 ; G185E-5689		-
TU185E-6908	3796448	3798489	-	G185E-7659 ; G185E-7658		-
TU185E-7276	3639425	3639844	+	G185E-7533		-
TU185E-7540	1381942	1383042	-	G185E-5410		-
TU185E-6159	2162932	2167311	-	G185E-6114		-
TU185E-5563	863256	865854	+	G185E-4920 ; G185E-4919 ; G185E-4918	PWY-6277 ; PWY-6121 ; PWY-6122;PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	superpathway of 5-aminoimidazole ribonucleotide biosynthesis;5-aminoimidazole ribonucleotide biosynthesis II;5-aminoimidazole ribonucleotide biosynthesis I;-;protocatechuate degradation II (ortho-cleavage pathway)
TU185E-6527	2949593	2950486	+	G185E-6867		-
