Locus	Name	Product	type	start	end	strand	snpEff_locus_id
Rv3032	Rv3032	Alpha (1->4) glucosyltransferase	CDS	3391534	3392778	+	CDS_NC_000962.3_3391534_3392778
Rv3033	Rv3033	Unknown protein	CDS	3393380	3393928	+	CDS_NC_000962.3_3393380_3393928
Rv3034c	Rv3034c	Possible transferase	CDS	3394019	3394921	-	CDS_NC_000962.3_3394019_3394921
Rv3035	Rv3035	Conserved protein	CDS	3395379	3396461	+	CDS_NC_000962.3_3395379_3396461
Rv3047c	Rv3047c	Hypothetical protein	CDS	3408022	3408306	-	CDS_NC_000962.3_3408022_3408306
Rv3050c	Rv3050c	Probable transcriptional regulatory protein (probably AsnC-family)	CDS	3411217	3411957	-	CDS_NC_000962.3_3411217_3411957
Rv3041c	Rv3041c	Probable conserved ATP-binding protein ABC transporter	CDS	3401055	3401918	-	CDS_NC_000962.3_3401055_3401918
Rv3042c	serB2	Probable phosphoserine phosphatase SerB2 (PSP) (O-phosphoserine phosphohydrolase) (pspase)	CDS	3401933	3403162	-	CDS_NC_000962.3_3401933_3403162
Rv3043c	ctaD	Probable cytochrome C oxidase polypeptide I CtaD (cytochrome AA3 subunit 1)	CDS	3403200	3404921	-	CDS_NC_000962.3_3403200_3404921
Rv3054c	Rv3054c	Conserved hypothetical protein	CDS	3415435	3415989	-	CDS_NC_000962.3_3415435_3415989
Rv3045	adhC	Probable NADP-dependent alcohol dehydrogenase AdhC	CDS	3406285	3407325	+	CDS_NC_000962.3_3406285_3407325
Rv3048c	nrdF2	Ribonucleoside-diphosphate reductase (beta chain) NrdF2 (ribonucleotide reductase small subunit) (R2F protein)	CDS	3408404	3409378	-	CDS_NC_000962.3_3408404_3409378
Rv3049c	Rv3049c	Probable monooxygenase	CDS	3409509	3411083	-	CDS_NC_000962.3_3409509_3411083
Rv3051c	nrdE	Ribonucleoside-diphosphate reductase (alpha chain) NrdE (ribonucleotide reductase small subunit) (R1F protein)	CDS	3412085	3414166	-	CDS_NC_000962.3_3412085_3414166
Rv3056	dinP	Possible DNA-damage-inducible protein P DinP (DNA polymerase V) (pol IV 2) (DNA nucleotidyltransferase (DNA-directed))	CDS	3416705	3417745	+	CDS_NC_000962.3_3416705_3417745
Rv3062	ligB	Probable ATP-dependent DNA ligase LigB (polydeoxyribonucleotide synthase [ATP]) (polynucleotide ligase [ATP]) (sealase) (DNA repair protein) (DNA joinase)	CDS	3425584	3427107	+	CDS_NC_000962.3_3425584_3427107
Rv3330	dacB1	Probable penicillin-binding protein DacB1 (D-alanyl-D-alanine carboxypeptidase) (DD-peptidase) (DD-carboxypeptidase) (PBP) (DD-transpeptidase) (serine-type D-ala-D-ala carboxypeptidase) (D-amino acid hydrolase)	CDS	3715777	3716994	+	CDS_NC_000962.3_3715777_3716994
Rv3060c	Rv3060c	Probable transcriptional regulatory protein (probably GntR-family)	CDS	3421741	3423213	-	CDS_NC_000962.3_3421741_3423213
Rv3073c	Rv3073c	Conserved hypothetical protein	CDS	3436329	3436685	-	CDS_NC_000962.3_3436329_3436685
Rv3123	Rv3123	Hypothetical protein	CDS	3488569	3489063	+	CDS_NC_000962.3_3488569_3489063
Rv3173c	Rv3173c	Probable transcriptional regulatory protein (probably TetR/AcrR-family)	CDS	3541443	3542045	-	CDS_NC_000962.3_3541443_3542045
Rv3064c	Rv3064c	Probable conserved integral membrane protein	CDS	3429825	3430250	-	CDS_NC_000962.3_3429825_3430250
Rv3063	cstA	Probable carbon starvation protein A homolog CstA	CDS	3427243	3429519	+	CDS_NC_000962.3_3427243_3429519
Rv3066	Rv3066	Probable transcriptional regulatory protein (probably DeoR-family)	CDS	3430707	3431315	+	CDS_NC_000962.3_3430707_3431315
Rv3067	Rv3067	Conserved hypothetical protein	CDS	3431428	3431838	+	CDS_NC_000962.3_3431428_3431838
Rv3069	Rv3069	Probable conserved transmembrane protein	CDS	3433692	3434090	+	CDS_NC_000962.3_3433692_3434090
Rv3070	Rv3070	Probable conserved integral membrane protein	CDS	3434087	3434467	+	CDS_NC_000962.3_3434087_3434467
Rv3071	Rv3071	Conserved hypothetical protein	CDS	3434464	3435573	+	CDS_NC_000962.3_3434464_3435573
Rv3074	Rv3074	Conserved hypothetical protein	CDS	3436779	3438053	+	CDS_NC_000962.3_3436779_3438053
Rv3098A	Rv3098A	PemK-like protein	CDS	3467606	3467926	+	CDS_NC_000962.3_3467606_3467926
Rv3076	Rv3076	Conserved hypothetical protein	CDS	3439072	3439548	+	CDS_NC_000962.3_3439072_3439548
Rv3078	hab	Probable hydroxylaminobenzene mutase Hab	CDS	3441353	3441754	+	CDS_NC_000962.3_3441353_3441754
Rv3082c	virS	Virulence-regulating transcriptional regulator VirS (AraC/XylS family)	CDS	3447404	3448426	-	CDS_NC_000962.3_3447404_3448426
Rv3081	Rv3081	Conserved hypothetical protein	CDS	3446040	3447278	+	CDS_NC_000962.3_3446040_3447278
Rv3083	Rv3083	Probable monooxygenase (hydroxylase)	CDS	3448504	3449991	+	CDS_NC_000962.3_3448504_3449991
Rv3084	lipR	Probable acetyl-hydrolase/esterase LipR	CDS	3449997	3450923	+	CDS_NC_000962.3_3449997_3450923
Rv3087	Rv3087	Possible triacylglycerol synthase (diacylglycerol acyltransferase)	CDS	3452925	3454343	+	CDS_NC_000962.3_3452925_3454343
Rv3086	adhD	Probable zinc-type alcohol dehydrogenase AdhD (aldehyde reductase)	CDS	3451781	3452887	+	CDS_NC_000962.3_3451781_3452887
Rv3088	tgs4	Putative triacylglycerol synthase (diacylglycerol acyltransferase) Tgs4	CDS	3454340	3455764	+	CDS_NC_000962.3_3454340_3455764
Rv3090	Rv3090	Unknown alanine and valine rich protein	CDS	3458211	3459098	+	CDS_NC_000962.3_3458211_3459098
Rv3113	Rv3113	Possible phosphatase	CDS	3480074	3480742	+	CDS_NC_000962.3_3480074_3480742
Rv3093c	Rv3093c	Hypothetical oxidoreductase	CDS	3461760	3462764	-	CDS_NC_000962.3_3461760_3462764
Rv3094c	Rv3094c	Conserved hypothetical protein	CDS	3462761	3463891	-	CDS_NC_000962.3_3462761_3463891
Rv3095	Rv3095	Hypothetical transcriptional regulatory protein	CDS	3463973	3464449	+	CDS_NC_000962.3_3463973_3464449
Rv3096	Rv3096	Conserved hypothetical protein	CDS	3464547	3465686	+	CDS_NC_000962.3_3464547_3465686
Rv3098c	Rv3098c	Hypothetical protein	CDS	3467210	3467662	-	CDS_NC_000962.3_3467210_3467662
Rv3102c	ftsE	Putative cell division ATP-binding protein FtsE (septation component-transport ATP-binding protein ABC transporter)	CDS	3470680	3471369	-	CDS_NC_000962.3_3470680_3471369
Rv3103c	Rv3103c	Hypothetical proline-rich protein	CDS	3471413	3471850	-	CDS_NC_000962.3_3471413_3471850
Rv3104c	Rv3104c	Possible conserved transmembrane protein	CDS	3471852	3472778	-	CDS_NC_000962.3_3471852_3472778
Rv3395c	Rv3395c	Conserved hypothetical protein	CDS	3811022	3811636	-	CDS_NC_000962.3_3811022_3811636
Rv3106	fprA	NADPH:adrenodoxin oxidoreductase FprA (NADPH-ferredoxin reductase)	CDS	3474007	3475377	+	CDS_NC_000962.3_3474007_3475377
Rv3111	moaC1	Probable molybdenum cofactor biosynthesis protein C MoaC1	CDS	3479171	3479683	+	CDS_NC_000962.3_3479171_3479683
Rv3120	Rv3120	Conserved hypothetical protein	CDS	3485572	3486174	+	CDS_NC_000962.3_3485572_3486174
Rv3144c	PPE52	PPE family protein PPE52	CDS	3510088	3511317	-	CDS_NC_000962.3_3510088_3511317
Rv3108	Rv3108	Hypothetical protein	CDS	3477060	3477500	+	CDS_NC_000962.3_3477060_3477500
Rv3110	moaB1	Probable pterin-4-alpha-carbinolamine dehydratase MoaB1 (PHS) (4-alpha- hydroxy-tetrahydropterin dehydratase) (pterin-4-a-carbinolamine dehydratase) (phenylalanine hydroxylase-stimulating protein) (PHS) (pterin carbinolamine dehydratase) (PCD)	CDS	3478779	3479174	+	CDS_NC_000962.3_3478779_3479174
Rv3112	moaD1	Probable molybdenum cofactor biosynthesis protein D MoaD1 (molybdopterin converting factor small subunit) (molybdopterin [MPT] converting factor, subunit 1)	CDS	3479700	3479951	+	CDS_NC_000962.3_3479700_3479951
Rv3117	cysA3	Probable thiosulfate sulfurtransferase CysA3 (rhodanese-like protein) (thiosulfate cyanide transsulfurase) (thiosulfate thiotransferase)	CDS	3483974	3484807	+	CDS_NC_000962.3_3483974_3484807
Rv3127	Rv3127	Conserved protein	CDS	3492147	3493181	+	CDS_NC_000962.3_3492147_3493181
Rv3162c	Rv3162c	Possible integral membrane protein	CDS	3531208	3531645	-	CDS_NC_000962.3_3531208_3531645
Rv3128c	Rv3128c	Conserved hypothetical protein	CDS	3493168	3494181	-	CDS_NC_000962.3_3493168_3494181
Rv3121	cyp141	Probable cytochrome P450 141 Cyp141	CDS	3486509	3487711	+	CDS_NC_000962.3_3486509_3487711
Rv3124	moaR1	Transcriptional regulatory protein MoaR1	CDS	3489506	3490375	+	CDS_NC_000962.3_3489506_3490375
Rv3129	Rv3129	Conserved hypothetical protein	CDS	3494660	3494992	+	CDS_NC_000962.3_3494660_3494992
Rv3426	PPE58	PPE family protein PPE58	CDS	3843036	3843734	+	CDS_NC_000962.3_3843036_3843734
Rv3130c	tgs1	Triacylglycerol synthase (diacylglycerol acyltransferase) Tgs1	CDS	3494975	3496366	-	CDS_NC_000962.3_3494975_3496366
Rv3132c	devS	Two component sensor histidine kinase DevS	CDS	3497529	3499265	-	CDS_NC_000962.3_3497529_3499265
Rv3395A	Rv3395A	Probable membrane protein	CDS	3811719	3812345	+	CDS_NC_000962.3_3811719_3812345
Rv3133c	devR	Two component transcriptional regulatory protein DevR (probably LuxR/UhpA-family)	CDS	3499262	3499915	-	CDS_NC_000962.3_3499262_3499915
Rv3137	Rv3137	Probable monophosphatase	CDS	3503393	3504175	+	CDS_NC_000962.3_3503393_3504175
Rv3138	pflA	Probable pyruvate formate lyase activating protein PflA (formate acetyltransferase activating enzyme) ([pyruvate formate-lyase] activating enzyme)	CDS	3504195	3505283	+	CDS_NC_000962.3_3504195_3505283
Rv3145	nuoA	Probable NADH dehydrogenase I (chain A) NuoA (NADH-ubiquinone oxidoreductase chain A)	CDS	3511682	3512068	+	CDS_NC_000962.3_3511682_3512068
Rv3201c	Rv3201c	Probable ATP-dependent DNA helicase	CDS	3573731	3577036	-	CDS_NC_000962.3_3573731_3577036
Rv3268	Rv3268	Conserved hypothetical protein	CDS	3649420	3650109	+	CDS_NC_000962.3_3649420_3650109
Rv3140	fadE23	Probable acyl-CoA dehydrogenase FadE23	CDS	3506790	3507995	+	CDS_NC_000962.3_3506790_3507995
Rv3143	Rv3143	Probable response regulator	CDS	3509654	3510055	+	CDS_NC_000962.3_3509654_3510055
Rv3146	nuoB	Probable NADH dehydrogenase I (chain B) NuoB (NADH-ubiquinone oxidoreductase chain B)	CDS	3512077	3512631	+	CDS_NC_000962.3_3512077_3512631
Rv3187	Rv3187	Probable transposase	CDS	3553039	3554025	+	CDS_NC_000962.3_3553039_3554025
Rv3148	nuoD	Probable NADH dehydrogenase I (chain D) NuoD (NADH-ubiquinone oxidoreductase chain D)	CDS	3513338	3514660	+	CDS_NC_000962.3_3513338_3514660
Rv3149	nuoE	Probable NADH dehydrogenase I (chain E) NuoE (NADH-ubiquinone oxidoreductase chain E)	CDS	3514657	3515415	+	CDS_NC_000962.3_3514657_3515415
Rv3151	nuoG	Probable NADH dehydrogenase I (chain G) NuoG (NADH-ubiquinone oxidoreductase chain G)	CDS	3516746	3519166	+	CDS_NC_000962.3_3516746_3519166
Rv3893c	PE36	PE family protein PE36	CDS	4375762	4375995	-	CDS_NC_000962.3_4375762_4375995
Rv3153	nuoI	Probable NADH dehydrogenase I (chain I) NuoI (NADH-ubiquinone oxidoreductase chain I)	CDS	3520507	3521142	+	CDS_NC_000962.3_3520507_3521142
Rv3166c	Rv3166c	Conserved hypothetical protein	CDS	3534392	3535351	-	CDS_NC_000962.3_3534392_3535351
Rv3188	Rv3188	Conserved hypothetical protein	CDS	3554298	3554645	+	CDS_NC_000962.3_3554298_3554645
Rv3348	Rv3348	Probable transposase	CDS	3753765	3754256	+	CDS_NC_000962.3_3753765_3754256
Rv3453	Rv3453	Possible conserved transmembrane protein	CDS	3874404	3874736	+	CDS_NC_000962.3_3874404_3874736
Rv3157	nuoM	Probable NADH dehydrogenase I (chain M) NUOK (NADH-ubiquinone oxidoreductase chain M)	CDS	3524132	3525793	+	CDS_NC_000962.3_3524132_3525793
Rv3163c	Rv3163c	Possible conserved secreted protein	CDS	3531642	3532913	-	CDS_NC_000962.3_3531642_3532913
Rv3164c	moxR3	Probable methanol dehydrogenase transcriptional regulatory protein MoxR3	CDS	3532943	3533905	-	CDS_NC_000962.3_3532943_3533905
Rv3159c	PPE53	PPE family protein PPE53	CDS	3527391	3529163	-	CDS_NC_000962.3_3527391_3529163
Rv3160c	Rv3160c	Possible transcriptional regulatory protein (probably TetR-family)	CDS	3529338	3529979	-	CDS_NC_000962.3_3529338_3529979
Rv3161c	Rv3161c	Possible dioxygenase	CDS	3529990	3531138	-	CDS_NC_000962.3_3529990_3531138
Rv3185	Rv3185	Probable transposase	CDS	3551556	3552542	+	CDS_NC_000962.3_3551556_3552542
Rv3690	Rv3690	Probable conserved membrane protein	CDS	4131739	4132392	+	CDS_NC_000962.3_4131739_4132392
Rv3182	Rv3182	Conserved hypothetical protein	CDS	3550374	3550718	+	CDS_NC_000962.3_3550374_3550718
Rv3168	Rv3168	Putative aminoglycoside phosphotransferase	CDS	3536102	3537238	+	CDS_NC_000962.3_3536102_3537238
Rv3169	Rv3169	Conserved protein	CDS	3537238	3538362	+	CDS_NC_000962.3_3537238_3538362
Rv3189	Rv3189	Conserved hypothetical protein	CDS	3554642	3555262	+	CDS_NC_000962.3_3554642_3555262
Rv3844	Rv3844	Possible transposase	CDS	4318775	4319266	+	CDS_NC_000962.3_4318775_4319266
Rv3174	Rv3174	Probable short-chain dehydrogenase/reductase	CDS	3542138	3542845	+	CDS_NC_000962.3_3542138_3542845
Rv3184	Rv3184	Probable transposase for insertion sequence element IS6110 (fragment)	CDS	3551281	3551607	+	CDS_NC_000962.3_3551281_3551607
Rv3190c	Rv3190c	Hypothetical protein	CDS	3555422	3556687	-	CDS_NC_000962.3_3555422_3556687
Rv3177	Rv3177	Possible peroxidase (non-haem peroxidase)	CDS	3545447	3546307	+	CDS_NC_000962.3_3545447_3546307
Rv3178	Rv3178	Conserved hypothetical protein	CDS	3546438	3546797	+	CDS_NC_000962.3_3546438_3546797
Rv3179	Rv3179	Conserved protein	CDS	3547618	3548907	+	CDS_NC_000962.3_3547618_3548907
Rv3186	Rv3186	Probable transposase for insertion sequence element IS6110 (fragment)	CDS	3552764	3553090	+	CDS_NC_000962.3_3552764_3553090
Rv3431c	Rv3431c	Possible transposase (fragment)	CDS	3849294	3850139	-	CDS_NC_000962.3_3849294_3850139
Rv3192	Rv3192	Conserved hypothetical alanine and proline-rich protein	CDS	3559563	3560024	+	CDS_NC_000962.3_3559563_3560024
Rv3198c	uvrD2	Probable ATP-dependent DNA helicase II UvrD2	CDS	3569109	3571211	-	CDS_NC_000962.3_3569109_3571211
Rv3210c	Rv3210c	Conserved protein	CDS	3586844	3587539	-	CDS_NC_000962.3_3586844_3587539
Rv3845	Rv3845	Hypothetical protein	CDS	4319281	4319640	+	CDS_NC_000962.3_4319281_4319640
Rv3194c	Rv3194c	Possible conserved secreted protein	CDS	3563264	3564286	-	CDS_NC_000962.3_3563264_3564286
Rv3195	Rv3195	Conserved hypothetical protein	CDS	3564364	3565782	+	CDS_NC_000962.3_3564364_3565782
Rv3196	Rv3196	Conserved hypothetical protein	CDS	3565788	3566687	+	CDS_NC_000962.3_3565788_3566687
Rv3205c	Rv3205c	Conserved protein	CDS	3581627	3582505	-	CDS_NC_000962.3_3581627_3582505
Rv3198A	Rv3198A	Possible glutaredoxin protein	CDS	3571335	3571589	+	CDS_NC_000962.3_3571335_3571589
Rv3222c	Rv3222c	Conserved hypothetical protein	CDS	3598353	3598904	-	CDS_NC_000962.3_3598353_3598904
Rv3223c	sigH	Alternative RNA polymerase sigma-E factor (sigma-24) SigH (RPOE)	CDS	3598901	3599551	-	CDS_NC_000962.3_3598901_3599551
Rv3224B	Rv3224B	Conserved hypothetical protein	CDS	3600801	3601019	+	CDS_NC_000962.3_3600801_3601019
Rv3886c	mycP2	Probable alanine and proline rich membrane-anchored mycosin MycP2 (serine protease) (subtilisin-like protease) (subtilase-like) (mycosin-2)	CDS	4368518	4370170	-	CDS_NC_000962.3_4368518_4370170
Rv3202c	Rv3202c	Possible ATP-dependent DNA helicase	CDS	3577033	3580200	-	CDS_NC_000962.3_3577033_3580200
Rv3203	lipV	Possible lipase LipV	CDS	3580638	3581312	+	CDS_NC_000962.3_3580638_3581312
Rv3204	Rv3204	Possible DNA-methyltransferase (modification methylase)	CDS	3581315	3581620	+	CDS_NC_000962.3_3581315_3581620
Rv3208A	TB9.4	Conserved protein TB9.4	CDS	3585677	3585949	-	CDS_NC_000962.3_3585677_3585949
Rv3209	Rv3209	Conserved hypothetical threonine and proline rich protein	CDS	3586274	3586834	+	CDS_NC_000962.3_3586274_3586834
Rv3218	Rv3218	Conserved protein	CDS	3594468	3595433	+	CDS_NC_000962.3_3594468_3595433
Rv3215	entC	Probable isochorismate synthase EntC (isochorismate hydroxymutase) (enterochelin biosynthesis)	CDS	3592254	3593372	+	CDS_NC_000962.3_3592254_3593372
Rv3217c	Rv3217c	Probable conserved integral membrane protein	CDS	3593804	3594235	-	CDS_NC_000962.3_3593804_3594235
Rv3221c	TB7.3	Biotinylated protein TB7.3	CDS	3597551	3597766	-	CDS_NC_000962.3_3597551_3597766
Rv3238c	Rv3238c	Probable conserved integral membrane protein	CDS	3613664	3614398	-	CDS_NC_000962.3_3613664_3614398
Rv3240c	secA1	Probable preprotein translocase SecA1 1 subunit	CDS	3617682	3620531	-	CDS_NC_000962.3_3617682_3620531
Rv3220c	Rv3220c	Probable two component sensor kinase	CDS	3596029	3597534	-	CDS_NC_000962.3_3596029_3597534
Rv3225c	Rv3225c	GCN5-related N-acetyltransferase, phosphorylase	CDS	3601016	3602440	-	CDS_NC_000962.3_3601016_3602440
Rv3226c	Rv3226c	Conserved hypothetical protein	CDS	3602564	3603322	-	CDS_NC_000962.3_3602564_3603322
Rv3227	aroA	3-phosphoshikimate 1-carboxyvinyltransferase AroA (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	CDS	3603377	3604729	+	CDS_NC_000962.3_3603377_3604729
Rv3228	Rv3228	Conserved hypothetical protein	CDS	3604726	3605718	+	CDS_NC_000962.3_3604726_3605718
Rv3231c	Rv3231c	Conserved protein	CDS	3608364	3608873	-	CDS_NC_000962.3_3608364_3608873
Rv3232c	ppk2	Polyphosphate kinase Ppk2 (polyphosphoric acid kinase)	CDS	3608870	3609757	-	CDS_NC_000962.3_3608870_3609757
Rv3234c	tgs3	Putative triacylglycerol synthase (diacylglycerol acyltransferase) Tgs3	CDS	3610374	3611189	-	CDS_NC_000962.3_3610374_3611189
Rv3254	Rv3254	Conserved hypothetical protein	CDS	3633675	3635063	+	CDS_NC_000962.3_3633675_3635063
Rv3408	vapC47	Possible toxin VapC47. Contains PIN domain.	CDS	3826548	3826958	+	CDS_NC_000962.3_3826548_3826958
Rv3237c	Rv3237c	Conserved protein	CDS	3613121	3613603	-	CDS_NC_000962.3_3613121_3613603
Rv3244c	lpqB	Probable conserved lipoprotein LpqB	CDS	3623159	3624910	-	CDS_NC_000962.3_3623159_3624910
Rv3247c	tmk	Thymidylate kinase Tmk (dTMP kinase) (thymidylic acid kinase) (TMPK)	CDS	3627419	3628063	-	CDS_NC_000962.3_3627419_3628063
Rv3256c	Rv3256c	Conserved protein	CDS	3636275	3637315	-	CDS_NC_000962.3_3636275_3637315
Rv3362c	Rv3362c	Probable ATP/GTP-binding protein	CDS	3773574	3774155	-	CDS_NC_000962.3_3773574_3774155
Rv3241c	Rv3241c	Conserved protein	CDS	3620610	3621254	-	CDS_NC_000962.3_3620610_3621254
Rv3242c	Rv3242c	Conserved hypothetical protein	CDS	3621570	3622211	-	CDS_NC_000962.3_3621570_3622211
Rv3243c	Rv3243c	Unknown protein	CDS	3622249	3623091	-	CDS_NC_000962.3_3622249_3623091
Rv3251c	rubA	Probable rubredoxin RubA	CDS	3630571	3630738	-	CDS_NC_000962.3_3630571_3630738
Rv3461c	rpmJ	50S ribosomal protein L36 RpmJ	CDS	3880286	3880399	-	CDS_NC_000962.3_3880286_3880399
Rv3249c	Rv3249c	Possible transcriptional regulatory protein (probably TetR-family)	CDS	3629752	3630387	-	CDS_NC_000962.3_3629752_3630387
Rv3260c	whiB2	Probable transcriptional regulatory protein WhiB-like WhiB2	CDS	3639872	3640141	-	CDS_NC_000962.3_3639872_3640141
Rv3250c	rubB	Probable rubredoxin RubB	CDS	3630384	3630566	-	CDS_NC_000962.3_3630384_3630566
Rv3253c	Rv3253c	Possible cationic amino acid transport integral membrane protein	CDS	3632097	3633584	-	CDS_NC_000962.3_3632097_3633584
Rv3259	Rv3259	Conserved hypothetical protein	CDS	3639425	3639844	+	CDS_NC_000962.3_3639425_3639844
Rv3257c	pmmA	Probable phosphomannomutase PmmA (PMM) (phosphomannose mutase)	CDS	3637312	3638709	-	CDS_NC_000962.3_3637312_3638709
Rv3258c	Rv3258c	Conserved hypothetical protein	CDS	3638811	3639302	-	CDS_NC_000962.3_3638811_3639302
Rv3262	fbiB	Probable F420 biosynthesis protein FbiB	CDS	3641535	3642881	+	CDS_NC_000962.3_3641535_3642881
Rv3493c	Rv3493c	Conserved hypothetical Mce associated alanine and valine rich protein	CDS	3910947	3911675	-	CDS_NC_000962.3_3910947_3911675
Rv3265c	wbbL1	dTDP-RHA:a-D-GlcNAc-diphosphoryl polyprenol, a-3-L-rhamnosyl transferase WbbL1 (alpha-L-rhamnose-(1->3)-alpha-D-GlcNAc(1->P)-P-decaprenyl)	CDS	3645979	3646884	-	CDS_NC_000962.3_3645979_3646884
Rv3266c	rmlD	dTDP-6-deoxy-L-lyxo-4-hexulose reductase RmlD (dTDP-rhamnose modification protein) (dTDP-rhamnose biosynthesis protein) (dTDP-rhamnose synthase)	CDS	3646895	3647809	-	CDS_NC_000962.3_3646895_3647809
Rv3267	Rv3267	Conserved protein (CPSA-related protein)	CDS	3647885	3649381	+	CDS_NC_000962.3_3647885_3649381
Rv3481c	Rv3481c	Probable integral membrane protein	CDS	3900493	3901182	-	CDS_NC_000962.3_3900493_3901182
Rv3270	ctpC	Probable metal cation-transporting P-type ATPase C CtpC	CDS	3650526	3652682	+	CDS_NC_000962.3_3650526_3652682
Rv3271c	Rv3271c	Probable conserved integral membrane protein	CDS	3652679	3653347	-	CDS_NC_000962.3_3652679_3653347
Rv3363c	Rv3363c	Conserved hypothetical protein	CDS	3774136	3774504	-	CDS_NC_000962.3_3774136_3774504
Rv3381c	Rv3381c	Probable transposase for insertion sequence element IS6110 (fragment)	CDS	3796035	3796361	-	CDS_NC_000962.3_3796035_3796361
Rv3274c	fadE25	Probable acyl-CoA dehydrogenase FadE25	CDS	3656920	3658089	-	CDS_NC_000962.3_3656920_3658089
Rv3281	accE5	Probable bifunctional protein acetyl-/propionyl-coenzyme A carboxylase (epsilon chain) AccE5	CDS	3663689	3664222	+	CDS_NC_000962.3_3663689_3664222
Rv3292	Rv3292	Conserved hypothetical protein	CDS	3672328	3673575	+	CDS_NC_000962.3_3672328_3673575
Rv3277	Rv3277	Probable conserved transmembrane protein	CDS	3659878	3660696	+	CDS_NC_000962.3_3659878_3660696
Rv3278c	Rv3278c	Probable conserved transmembrane protein	CDS	3660651	3661169	-	CDS_NC_000962.3_3660651_3661169
Rv3327	Rv3327	Probable transposase fusion protein	CDS	3711749	3713461	+	CDS_NC_000962.3_3711749_3713461
Rv3284	Rv3284	Conserved hypothetical protein	CDS	3665818	3666249	+	CDS_NC_000962.3_3665818_3666249
Rv3280	accD5	Probable propionyl-CoA carboxylase beta chain 5 AccD5 (pccase) (propanoyl-CoA:carbon dioxide ligase)	CDS	3662062	3663708	+	CDS_NC_000962.3_3662062_3663708
Rv3283	sseA	Probable thiosulfate sulfurtransferase SseA (rhodanese) (thiosulfate cyanide transsulfurase) (thiosulfate thiotransferase)	CDS	3664928	3665821	+	CDS_NC_000962.3_3664928_3665821
Rv3285	accA3	Probable bifunctional protein acetyl-/propionyl-coenzyme A carboxylase (alpha chain) AccA3: biotin carboxylase + biotin carboxyl carrier protein (BCCP)	CDS	3666357	3668159	+	CDS_NC_000962.3_3666357_3668159
Rv3287c	rsbW	Anti-sigma factor RsbW (sigma negative effector)	CDS	3668951	3669388	-	CDS_NC_000962.3_3668951_3669388
Rv3288c	usfY	Putative protein UsfY	CDS	3669586	3669999	-	CDS_NC_000962.3_3669586_3669999
Rv3289c	Rv3289c	Possible transmembrane protein	CDS	3670034	3670411	-	CDS_NC_000962.3_3670034_3670411
Rv3291c	lrpA	Probable transcriptional regulatory protein LrpA (Lrp/AsnC-family)	CDS	3671845	3672297	-	CDS_NC_000962.3_3671845_3672297
Rv3477	PE31	PE family protein PE31	CDS	3894093	3894389	+	CDS_NC_000962.3_3894093_3894389
Rv3294c	Rv3294c	Conserved hypothetical protein	CDS	3675186	3675995	-	CDS_NC_000962.3_3675186_3675995
Rv3296	lhr	Probable ATP-dependent helicase Lhr (large helicase-related protein)	CDS	3676775	3681316	+	CDS_NC_000962.3_3676775_3681316
Rv3297	nei	Probable endonuclease VIII Nei	CDS	3681320	3682087	+	CDS_NC_000962.3_3681320_3682087
Rv3299c	atsB	Probable arylsulfatase AtsB (aryl-sulfate sulphohydrolase) (sulfatase)	CDS	3683051	3685963	-	CDS_NC_000962.3_3683051_3685963
Rv3300c	Rv3300c	Conserved hypothetical protein	CDS	3685983	3686900	-	CDS_NC_000962.3_3685983_3686900
Rv3301c	phoY1	Probable phosphate-transport system transcriptional regulatory protein PhoU homolog 1 PhoY1	CDS	3686912	3687577	-	CDS_NC_000962.3_3686912_3687577
Rv3349c	Rv3349c	Probable transposase	CDS	3754293	3755033	-	CDS_NC_000962.3_3754293_3755033
Rv3305c	amiA1	Possible N-acyl-L-amino acid amidohydrolase AmiA1 (N-acyl-L-amino acid aminohydrolase)	CDS	3691639	3692808	-	CDS_NC_000962.3_3691639_3692808
Rv3335c	Rv3335c	Probable conserved integral membrane protein	CDS	3721731	3722600	-	CDS_NC_000962.3_3721731_3722600
Rv3337	Rv3337	Conserved hypothetical protein	CDS	3723656	3724042	+	CDS_NC_000962.3_3723656_3724042
Rv3354	Rv3354	Conserved hypothetical protein	CDS	3769111	3769500	+	CDS_NC_000962.3_3769111_3769500
Rv3308	pmmB	Probable phosphomannomutase PmmB (phosphomannose mutase)	CDS	3694864	3696468	+	CDS_NC_000962.3_3694864_3696468
Rv3310	sapM	Acid phosphatase (acid phosphomonoesterase) (phosphomonoesterase) (glycerophosphatase)	CDS	3697198	3698097	+	CDS_NC_000962.3_3697198_3698097
Rv3333c	Rv3333c	Hypothetical proline rich protein	CDS	3719937	3720782	-	CDS_NC_000962.3_3719937_3720782
Rv3312c	Rv3312c	Conserved hypothetical protein	CDS	3699404	3700330	-	CDS_NC_000962.3_3699404_3700330
Rv3312A	Rv3312A	Secreted protein antigen	CDS	3700705	3701016	-	CDS_NC_000962.3_3700705_3701016
Rv3313c	add	Probable adenosine deaminase Add (adenosine aminohydrolase)	CDS	3701087	3702184	-	CDS_NC_000962.3_3701087_3702184
Rv3314c	deoA	Probable thymidine phosphorylase DeoA (tdrpase) (pyrimidine phosphorylase)	CDS	3702184	3703467	-	CDS_NC_000962.3_3702184_3703467
