Transcription-Units	Transcription units - binding sites	Transcription units - promoter of operon	Sequence - coordinates of DNA region	Genes of transcription unit	Ontology -  all instances of class	Ontology - all ancestors of entity	Ontology - all subclasses of class	Regulation - regulator proteins of transcription unit	Transcription units - regulators of operon	Names	Object ID	Direction	Left-End-Position	Citations	Data-Source
TU185E-7514			[TU185E-7514 1,635,029 &rarr; 1,635,955]	G185E-5634		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7514	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282587:fulcher	
TU185E-6133			[TU185E-6133 2,119,460 &larr; 2,120,695]	G185E-6064		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6133	-		:EV-COMP-AINF:3743282520:fulcher	
TU185E-5537			[TU185E-5537 818,537 &larr; 819,640]	G185E-4871		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5537	-		:EV-COMP-AINF:3743282492:fulcher	
TU185E-6501			[TU185E-6501 2,881,409 &rarr; 2,881,702]	G185E-6802		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6501	+		:EV-COMP-AINF:3743282538:fulcher	
TU185E-5905			[TU185E-5905 1,576,930 &rarr; 1,577,532]	G185E-5584		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5905	+		:EV-COMP-AINF:3743282510:fulcher	
TU185E-6866			[TU185E-6866 3,687,685 &larr; 3,690,938]	G185E-7577 // G185E-7576		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6866	-		:EV-COMP-AINF:3743282556:fulcher	
TU185E-7234			[TU185E-7234 4,017,089 &larr; 4,018,168]	G185E-7853		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7234	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282574:fulcher	
TU185E-7498			[TU185E-7498 1,807,298 &larr; 1,807,762]	G185E-5796		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7498	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282587:fulcher	
TU185E-6117			[TU185E-6117 2,087,257 &larr; 2,087,912]	G185E-6034 // G185E-6033		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6117	-		:EV-COMP-AINF:3743282520:fulcher	
TU185E-5521			[TU185E-5521 787,099 &rarr; 789,160]	G185E-4831 // G185E-4830		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5521	+		:EV-COMP-AINF:3743282491:fulcher	
TU185E-6485			[TU185E-6485 2,851,091 &rarr; 2,851,716]	G185E-6765 // G185E-6764		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6485	+		:EV-COMP-AINF:3743282537:fulcher	
TU185E-5889			[TU185E-5889 1,538,390 &rarr; 1,539,440]	G185E-5548 // G185E-5547		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5889	+		:EV-COMP-AINF:3743282509:fulcher	
TU185E-6850			[TU185E-6850 3,644,898 &larr; 3,647,809]	G185E-7540 // G185E-7539 // G185E-7538		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6850	-		:EV-COMP-AINF:3743282555:fulcher	
TU185E-7218			[TU185E-7218 4,155,740 &larr; 4,156,729]	G185E-7998		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7218	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282573:fulcher	
TU185E-7482			[TU185E-7482 1,965,955 &larr; 1,967,637]	G185E-5934		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7482	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282586:fulcher	
TU185E-6101			[TU185E-6101 2,055,681 &larr; 2,056,112]	G185E-6008		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6101	-		:EV-COMP-AINF:3743282519:fulcher	
TU185E-5505			[TU185E-5505 753,462 &larr; 753,617]	G185E-4800		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5505	-		:EV-COMP-AINF:3743282490:fulcher	
TU185E-6469			[TU185E-6469 2,806,665 &rarr; 2,808,030]	G185E-6728 // G185E-6727		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6469	+		:EV-COMP-AINF:3743282536:fulcher	
TU185E-5873			[TU185E-5873 1,497,195 &larr; 1,500,559]	G185E-5509 // G185E-5508		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5873	-		:EV-COMP-AINF:3743282508:fulcher	
TU185E-6834			[TU185E-6834 3,611,959 &larr; 3,613,603]	G185E-7511 // G185E-7510		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6834	-		:EV-COMP-AINF:3743282555:fulcher	
TU185E-7202			[TU185E-7202 4,284,419 &larr; 4,285,825]	G185E-8116		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7202	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282572:fulcher	
TU185E-7466			[TU185E-7466 2,147,662 &rarr; 2,148,954]	G185E-6098		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7466	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282585:fulcher	
TU185E-6085			[TU185E-6085 2,031,066 &rarr; 2,031,968]	G185E-5989		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6085	+		:EV-COMP-AINF:3743282518:fulcher	
TU185E-5489			[TU185E-5489 728,583 &larr; 729,278]	G185E-4770		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5489	-		:EV-COMP-AINF:3743282489:fulcher	
TU185E-6453			[TU185E-6453 2,766,859 &larr; 2,768,159]	G185E-6699 // G185E-6698		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6453	-		:EV-COMP-AINF:3743282536:fulcher	
TU185E-5857			[TU185E-5857 1,459,766 &rarr; 1,468,131]	G185E-5486 // G185E-5485 // G185E-5484 // G185E-5483 // G185E-5482 // G185E-5481 // G185E-5480 // G185E-5479 // G185E-5478 // G185E-5477		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5857	+		:EV-COMP-AINF:3743282507:fulcher	
TU185E-6818			[TU185E-6818 3,581,627 &larr; 3,583,710]	G185E-7476 // G185E-7475		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6818	-		:EV-COMP-AINF:3743282554:fulcher	
TU185E-7186			[TU185E-7186 4,403,192 &rarr; 4,404,412]	G185E-8213		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7186	+		:EV-COMP-AINF:3743282572:fulcher	
TU185E-7450			[TU185E-7450 2,218,844 &larr; 2,219,251]	G185E-6175		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7450	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282584:fulcher	
TU185E-6069			[TU185E-6069 1,999,737 &rarr; 2,000,006]	G185E-5962		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6069	+		:EV-COMP-AINF:3743282517:fulcher	
TU185E-5473			[TU185E-5473 700,239 &rarr; 701,189]	G185E-4739		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5473	+		:EV-COMP-AINF:3743282489:fulcher	
TU185E-6437			[TU185E-6437 2,734,376 &rarr; 2,734,795]	G185E-6668		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6437	+		:EV-COMP-AINF:3743282535:fulcher	
TU185E-5841			[TU185E-5841 1,420,410 &larr; 1,424,050]	G185E-5445 // G185E-5444		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5841	-		:EV-COMP-AINF:3743282506:fulcher	
TU185E-6802			[TU185E-6802 3,549,254 &larr; 3,550,143]	G185E-7446 // G185E-7445		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6802	-		:EV-COMP-AINF:3743282553:fulcher	
TU185E-7170			[TU185E-7170 4,360,199 &larr; 4,361,925]	G185E-8179 // G185E-8178		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7170	-		:EV-COMP-AINF:3743282571:fulcher	
TU185E-7434			[TU185E-7434 2,347,373 &rarr; 2,348,554]	G185E-6296		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7434	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282583:fulcher	
TU185E-6053			[TU185E-6053 1,969,004 &rarr; 1,970,704]	G185E-5938		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6053	+		:EV-COMP-AINF:3743282517:fulcher	
TU185E-5457			[TU185E-5457 659,450 &rarr; 660,868]	G185E-4702		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5457	+		:EV-COMP-AINF:3743282488:fulcher	
TU185E-6421			[TU185E-6421 2,706,494 &larr; 2,709,965]	G185E-6641 // G185E-6640 // G185E-6639		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6421	-		:EV-COMP-AINF:3743282534:fulcher	
TU185E-5825			[TU185E-5825 1,393,194 &larr; 1,393,982]	G185E-5420		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5825	-		:EV-COMP-AINF:3743282505:fulcher	
TU185E-6786			[TU185E-6786 3,505,363 &rarr; 3,507,995]	G185E-7405 // G185E-7404		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6786	+		:EV-COMP-AINF:3743282552:fulcher	
TU185E-7154			[TU185E-7154 4,322,326 &rarr; 4,323,234]	G185E-8146		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7154	+		:EV-COMP-AINF:3743282570:fulcher	
TU185E-7418			[TU185E-7418 2,455,631 &larr; 2,456,743]	G185E-6402		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7418	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282583:fulcher	
TU185E-6037			[TU185E-6037 1,934,482 &larr; 1,934,649]	G185E-5898		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6037	-		:EV-COMP-AINF:3743282516:fulcher	
TU185E-5441			[TU185E-5441 635,935 &larr; 637,463]	G185E-4678 // G185E-4677		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5441	-		:EV-COMP-AINF:3743282487:fulcher	
TU185E-6405			[TU185E-6405 2,656,408 &larr; 2,667,115]	G185E-6606 // G185E-6605 // G185E-6604		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6405	-		:EV-COMP-AINF:3743282533:fulcher	
TU185E-5809			[TU185E-5809 1,363,503 &larr; 1,364,150]	G185E-5390		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5809	-		:EV-COMP-AINF:3743282504:fulcher	
TU185E-6770			[TU185E-6770 3,467,967 &larr; 3,468,334]	G185E-7362		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6770	-		:EV-COMP-AINF:3743282551:fulcher	
TU185E-7138			[TU185E-7138 4,278,394 &larr; 4,281,571]	G185E-8112 // G185E-8111 // G185E-8110 // G185E-8109		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7138	-		:EV-COMP-AINF:3743282569:fulcher	
TU185E-6021			[TU185E-6021 1,896,876 &larr; 1,898,207]	G185E-5862		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6021	-		:EV-COMP-AINF:3743282515:fulcher	
TU185E-5425			[TU185E-5425 604,602 &rarr; 606,448]	G185E-4646 // G185E-4645 // G185E-4644		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5425	+		:EV-COMP-AINF:3743282487:fulcher	
TU185E-6389			[TU185E-6389 2,627,172 &larr; 2,632,075]	G185E-6577 // G185E-6576 // G185E-6575		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6389	-		:EV-COMP-AINF:3743282533:fulcher	
TU185E-5793			[TU185E-5793 1,325,776 &larr; 1,327,512]	G185E-5354		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5793	-		:EV-COMP-AINF:3743282504:fulcher	
TU185E-6754			[TU185E-6754 3,430,387 &rarr; 3,431,315]	G185E-7327 // G185E-7326		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6754	+		:EV-COMP-AINF:3743282551:fulcher	
TU185E-7122			[TU185E-7122 4,221,089 &rarr; 4,222,648]	G185E-8071		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7122	+		:EV-COMP-AINF:3743282568:fulcher	
TU185E-6005			[TU185E-6005 1,833,542 &rarr; 1,836,236]	G185E-5820 // G185E-5819		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6005	+		:EV-COMP-AINF:3743282514:fulcher	
TU185E-5409			[TU185E-5409 573,984 &rarr; 575,300]	G185E-4613		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5409	+		:EV-COMP-AINF:3743282486:fulcher	
TU185E-6373			[TU185E-6373 2,601,914 &larr; 2,603,461]	G185E-6553		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6373	-		:EV-COMP-AINF:3743282532:fulcher	
TU185E-5777			[TU185E-5777 1,279,998 &larr; 1,281,484]	G185E-5321 // G185E-5320		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5777	-		:EV-COMP-AINF:3743282503:fulcher	
TU185E-6738			[TU185E-6738 3,398,425 &larr; 3,404,921]	G185E-7304 // G185E-7303 // G185E-7302 // G185E-7301 // G185E-7300 // G185E-7299		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6738	-		:EV-COMP-AINF:3743282550:fulcher	
TU185E-7106			[TU185E-7106 4,197,236 &rarr; 4,197,595]	G185E-8038		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7106	+		:EV-COMP-AINF:3743282568:fulcher	
TU185E-5989			[TU185E-5989 1,792,400 &larr; 1,793,740]	G185E-5780		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5989	-		:EV-COMP-AINF:3743282513:fulcher	
TU185E-5393			[TU185E-5393 552,614 &rarr; 554,309]	G185E-4590 // G185E-4589		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5393	+		:EV-COMP-AINF:3743282485:fulcher	
TU185E-6357			[TU185E-6357 2,577,488 &rarr; 2,577,922]	G185E-6525		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6357	+		:EV-COMP-AINF:3743282531:fulcher	
TU185E-5761			[TU185E-5761 1,241,003 &rarr; 1,241,188]	G185E-5281		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5761	+		:EV-COMP-AINF:3743282502:fulcher	
TU185E-6722			[TU185E-6722 3,359,585 &larr; 3,362,986]	G185E-7261 // G185E-7260 // G185E-7259		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6722	-		:EV-COMP-AINF:3743282549:fulcher	
TU185E-7090			[TU185E-7090 4,171,421 &rarr; 4,172,614]	G185E-8016		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7090	+		:EV-COMP-AINF:3743282567:fulcher	
TU185E-5973			[TU185E-5973 1,757,681 &rarr; 1,760,929]	G185E-5743 // G185E-5742 // G185E-5741 // G185E-5740		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5973	+		:EV-COMP-AINF:3743282513:fulcher	
TU185E-5377			[TU185E-5377 522,347 &larr; 526,082]	G185E-4562 // G185E-4561 // G185E-4560		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5377	-		:EV-COMP-AINF:3743282484:fulcher	
TU185E-7722			[TU185E-7722 11,874 &larr; 12,311]	G185E-4121		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7722	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282598:fulcher	
TU185E-6341			[TU185E-6341 2,553,173 &rarr; 2,554,831]	G185E-6499		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6341	+		:EV-COMP-AINF:3743282531:fulcher	
TU185E-5745			[TU185E-5745 1,216,469 &rarr; 1,219,030]	G185E-5255		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5745	+		:EV-COMP-AINF:3743282501:fulcher	
TU185E-6706			[TU185E-6706 3,325,934 &rarr; 3,326,949]	G185E-7226 // G185E-7225		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6706	+		:EV-COMP-AINF:3743282548:fulcher	
TU185E-7074			[TU185E-7074 4,148,318 &larr; 4,148,962]	G185E-7991		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7074	-		:EV-COMP-AINF:3743282566:fulcher	
TU185E-5239			[TU185E-5239 174,833 &rarr; 176,668]	G185E-4266 // G185E-4265		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5239	+		:EV-COMP-AINF:3743282478:fulcher	
TU185E-5361			[TU185E-5361 476,679 &larr; 479,753]	G185E-4525 // G185E-4524 // G185E-4523		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5361	-		:EV-COMP-AINF:3743282483:fulcher	
TU185E-7706			[TU185E-7706 156,578 &larr; 157,600]	G185E-4246		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7706	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282597:fulcher	
TU185E-6325			[TU185E-6325 2,527,984 &rarr; 2,528,487]	G185E-6470		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6325	+		:EV-COMP-AINF:3743282530:fulcher	
TU185E-5729			[TU185E-5729 1,196,279 &rarr; 1,197,115]	G185E-5234		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5729	+		:EV-COMP-AINF:3743282501:fulcher	
TU185E-6693			[TU185E-6693 3,291,503 &larr; 3,302,455]	G185E-7204 // G185E-7203 // G185E-7202 // G185E-7201 // G185E-7200		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6693	-		:EV-COMP-AINF:3743282547:fulcher	
TU185E-7058			[TU185E-7058 4,117,258 &larr; 4,118,691]	G185E-7962 // G185E-7961 // G185E-7960		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7058	-		:EV-COMP-AINF:3743282565:fulcher	
TU185E-5223			[TU185E-5223 147,908 &larr; 148,342]	G185E-4238		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5223	-		:EV-COMP-AINF:3743282477:fulcher	
TU185E-5345			[TU185E-5345 453,230 &larr; 454,372]	G185E-4500		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5345	-		:EV-COMP-AINF:3743282483:fulcher	
TU185E-7690			[TU185E-7690 234,516 &larr; 236,507]	G185E-4318		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7690	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282596:fulcher	
TU185E-6309			[TU185E-6309 2,495,461 &larr; 2,497,023]	G185E-6435		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6309	-		:EV-COMP-AINF:3743282529:fulcher	
TU185E-5713			[TU185E-5713 1,172,386 &rarr; 1,172,832]	G185E-5209		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5713	+		:EV-COMP-AINF:3743282500:fulcher	
TU185E-6677			[TU185E-6677 3,219,274 &larr; 3,221,698]	G185E-7165 // G185E-7164		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6677	-		:EV-COMP-AINF:3743282546:fulcher	
TU185E-7042			[TU185E-7042 4,088,781 &rarr; 4,091,096]	G185E-7929		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7042	+		:EV-COMP-AINF:3743282565:fulcher	
TU185E-5207			[TU185E-5207 98,480 &rarr; 99,250]	G185E-4207		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5207	+		:EV-COMP-AINF:3743282476:fulcher	
TU185E-7410			[TU185E-7410 2,500,931 &rarr; 2,501,632]	G185E-6439		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7410	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282582:fulcher	
TU185E-5329			[TU185E-5329 397,442 &rarr; 399,524]	G185E-4458 // G185E-4457 // G185E-4456		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5329	+		:EV-COMP-AINF:3743282482:fulcher	
TU185E-7674			[TU185E-7674 331,748 &rarr; 332,668]	G185E-4398		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7674	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282595:fulcher	
TU185E-6293			[TU185E-6293 2,456,901 &rarr; 2,461,327]	G185E-6406 // G185E-6405 // G185E-6404 // G185E-6403		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6293	+		:EV-COMP-AINF:3743282528:fulcher	
TU185E-5697			[TU185E-5697 1,138,315 &rarr; 1,138,908]	G185E-5178		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5697	+		:EV-COMP-AINF:3743282499:fulcher	
TU185E-6661			[TU185E-6661 3,184,847 &rarr; 3,186,934]	G185E-7126		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6661	+		:EV-COMP-AINF:3743282545:fulcher	
TU185E-7026			[TU185E-7026 4,063,254 &larr; 4,064,872]	G185E-7904 // G185E-7903		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7026	-		:EV-COMP-AINF:3743282564:fulcher	
TU185E-5191			[TU185E-5191 63,200 &rarr; 64,967]	G185E-4174 // G185E-4173		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5191	+		:EV-COMP-AINF:3743282476:fulcher	
TU185E-7394			[TU185E-7394 2,655,265 &rarr; 2,655,582]	G185E-6601		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7394	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282582:fulcher	
TU185E-5313			[TU185E-5313 372,820 &larr; 375,711]	G185E-4428		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5313	-		:EV-COMP-AINF:3743282481:fulcher	
TU185E-7658			[TU185E-7658 441,265 &larr; 442,299]	G185E-4487		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7658	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282594:fulcher	
TU185E-6277			[TU185E-6277 2,430,159 &larr; 2,431,420]	G185E-6377 // G185E-6376		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6277	-		:EV-COMP-AINF:3743282527:fulcher	
TU185E-5681			[TU185E-5681 1,109,272 &rarr; 1,110,192]	G185E-5150		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5681	+		:EV-COMP-AINF:3743282498:fulcher	
TU185E-6645			[TU185E-6645 3,148,385 &larr; 3,149,976]	G185E-7093 // G185E-7092		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6645	-		:EV-COMP-AINF:3743282545:fulcher	
TU185E-7010			[TU185E-7010 4,034,057 &rarr; 4,034,374]	G185E-7870		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7010	+		:EV-COMP-AINF:3743282563:fulcher	
TU185E-5175			[TU185E-5175 39,056 &larr; 39,829]	G185E-4150		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5175	-		:EV-COMP-AINF:3743282475:fulcher	
TU185E-7378			[TU185E-7378 2,825,488 &larr; 2,827,089]	G185E-6746		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7378	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282581:fulcher	
TU185E-5297			[TU185E-5297 322,764 &larr; 323,273]	G185E-4390		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5297	-		:EV-COMP-AINF:3743282480:fulcher	
TU185E-7642			[TU185E-7642 614,326 &larr; 614,721]	G185E-4655		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7642	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282594:fulcher	
TU185E-6261			[TU185E-6261 2,396,902 &larr; 2,397,315]	G185E-6343		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6261	-		:EV-COMP-AINF:3743282526:fulcher	
TU185E-5665			[TU185E-5665 1,075,297 &larr; 1,076,097]	G185E-5119		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5665	-		:EV-COMP-AINF:3743282498:fulcher	
TU185E-6629			[TU185E-6629 3,112,867 &rarr; 3,113,459]	G185E-7056 // G185E-7055		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6629	+		:EV-COMP-AINF:3743282544:fulcher	
TU185E-6994			[TU185E-6994 3,997,029 &larr; 3,997,631]	G185E-7834		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6994	-		:EV-COMP-AINF:3743282562:fulcher	
TU185E-5159			[TU185E-5159 9,914 &rarr; 10,828]	G185E-4118		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5159	+		:EV-COMP-AINF:3743282474:fulcher	
TU185E-7362			[TU185E-7362 2,943,600 &larr; 2,944,985]	G185E-6859		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7362	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282580:fulcher	
TU185E-5281			[TU185E-5281 288,428 &rarr; 289,042]	G185E-4359		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5281	+		:EV-COMP-AINF:3743282480:fulcher	
TU185E-7626			[TU185E-7626 823,683 &larr; 824,639]	G185E-4876		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7626	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282593:fulcher	
TU185E-6245			[TU185E-6245 2,363,391 &rarr; 2,364,107]	G185E-6308		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6245	+		:EV-COMP-AINF:3743282526:fulcher	
TU185E-5649			[TU185E-5649 1,037,920 &larr; 1,041,048]	G185E-5087 // G185E-5086		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5649	-		:EV-COMP-AINF:3743282497:fulcher	
TU185E-6613			[TU185E-6613 3,083,374 &larr; 3,084,303]	G185E-7025		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6613	-		:EV-COMP-AINF:3743282543:fulcher	
TU185E-6978			[TU185E-6978 3,960,755 &rarr; 3,961,786]	G185E-7801		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6978	+		:EV-COMP-AINF:3743282562:fulcher	
TU185E-6975			[TU185E-6975 3,952,544 &rarr; 3,953,335]	G185E-7793		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6975	+		:EV-COMP-AINF:3743282561:fulcher	
TU185E-7343			[TU185E-7343 3,059,855 &larr; 3,062,506]	G185E-6997		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7343	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282579:fulcher	
TU185E-5262			[TU185E-5262 231,647 &rarr; 234,519]	G185E-4317 // G185E-4316		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5262	+		:EV-COMP-AINF:3743282479:fulcher	
TU185E-7607			[TU185E-7607 936,457 &larr; 937,317]	G185E-4994		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7607	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282592:fulcher	
TU185E-6226			[TU185E-6226 2,320,831 &rarr; 2,324,701]	G185E-6271 // G185E-6270 // G185E-6269 // G185E-6268 // G185E-6267		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6226	+		:EV-COMP-AINF:3743282525:fulcher	
TU185E-5630			[TU185E-5630 1,002,812 &rarr; 1,004,484]	G185E-5055 // G185E-5054 // G185E-5053		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5630	+		:EV-COMP-AINF:3743282496:fulcher	
TU185E-6594			[TU185E-6594 3,051,806 &larr; 3,053,189]	G185E-6988 // G185E-6987		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6594	-		:EV-COMP-AINF:3743282542:fulcher	
TU185E-6959			[TU185E-6959 3,894,093 &rarr; 3,895,607]	G185E-7755 // G185E-7754		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6959	+		:EV-COMP-AINF:3743282561:fulcher	
TU185E-7327			[TU185E-7327 3,276,380 &larr; 3,282,715]	G185E-7193		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7327	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282578:fulcher	
